CUST_ID,CREDIT_CARD_NUMBER,BALANCE,PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,TENURE,DATE_OF_TXN
CC0020,6507656738575171,48385.45,17645.68,2960.03,698.65,65472.35,32266.86,4721.03,29,2023-02-27
CC0021,9053904004441817,21726.37,12479.99,4286.21,5543.11,36553.49,10221.4,3616.7,7,2024-02-05
CC0022,5868923379206380,24364.99,9897.84,4050.33,9283.85,36368.27,768.74,94.3,14,2023-09-03
CC0023,8428239639163888,32301.66,14567.72,4637.88,4780.48,59923.99,14615.74,5124.41,34,2023-12-05
CC0024,4866914255425559,29695.73,23622.22,19610.22,5205.43,76695.8,10160.44,3759.11,12,2024-11-22
CC0025,8765758240834158,34940.86,19867.83,11632.14,3905.81,42165.77,33190.63,12135.16,12,2024-03-27
CC0026,8291595071627854,24854.52,4100.07,174.51,4767.57,67529.29,24710.63,8212.92,26,2024-06-12
CC0027,4295249672696191,41586.11,8455.23,6493.08,134.79,48643.09,32318.23,15131.19,28,2023-09-13
CC0028,3504258538683511,31310.32,23000.38,19461.16,3538.41,74976.31,17648.92,4915.11,32,2024-12-21
CC0029,5638856853193556,33095.0,24594.83,4164.57,1347.04,81756.46,30223.18,8505.99,11,2023-07-23
CC0030,6813143420424939,23259.93,18471.61,7937.56,2605.03,58419.8,15355.34,4705.35,25,2023-01-28
CC0031,0060322969893145,19650.26,8709.63,2803.78,8325.75,32448.67,17427.35,4245.23,26,2024-01-26
CC0032,4653019384404775,5374.96,1324.43,414.04,4126.54,18503.27,2776.87,1244.7,17,2023-08-13
CC0033,0216738047677839,3680.92,2100.61,1472.43,5277.92,42152.1,212.26,79.79,25,2023-02-26
CC0034,1034902255906188,35486.98,34224.04,29294.05,1259.83,69262.64,12614.3,2441.51,7,2023-08-18
CC0035,3679832891661268,40676.33,4899.12,3661.27,1833.23,59493.41,28330.88,5014.42,10,2024-07-17
CC0036,3255744456935835,13274.52,1272.46,251.6,7341.68,39076.97,7289.54,2053.18,35,2024-09-06
CC0037,6611301444410486,27024.52,25184.23,10735.46,4571.05,49869.49,1879.85,934.1,14,2024-12-16
CC0038,8906593793013105,36161.32,16889.45,7276.53,9621.76,73922.33,10956.16,3568.35,8,2024-12-27
CC0039,8568674847586218,25079.5,7463.26,5876.55,6402.12,63960.25,12176.95,4678.1,33,2023-06-07
CC0040,4585277130597618,33132.53,1723.37,631.44,3731.57,78983.4,6295.99,2905.32,9,2023-06-23
CC0041,3150337774746738,30728.83,22384.37,184.84,1946.66,41389.55,11537.72,5282.36,8,2024-10-06
CC0042,7712280442416607,9396.25,7903.69,4908.05,5146.92,40915.72,3192.04,1292.46,16,2024-05-15
CC0043,5683482277893484,32283.3,6856.24,1487.88,4024.95,79738.74,30317.01,9196.83,24,2023-02-22
CC0044,0019093876147332,49767.01,35020.7,2140.27,3998.44,84946.03,31699.22,14884.12,25,2024-01-18
CC0045,3410345550145307,33497.83,22001.42,4803.65,7533.84,39837.41,4499.98,1897.9,6,2023-02-25
CC0046,7737655504462203,20592.56,12574.73,7440.87,4739.35,41194.7,17205.22,2023.22,26,2023-07-03
CC0047,9991202802132640,4923.14,971.15,905.54,1395.67,37732.5,741.55,243.94,27,2023-09-05
CC0048,0815550786130858,35588.72,26536.49,543.61,537.34,71465.15,15908.57,7521.08,24,2023-06-24
CC0049,0990727809085259,15148.01,3395.64,2479.89,8892.94,64828.7,4616.12,1519.63,11,2023-10-23
CC0050,3413499925549595,43421.62,24620.97,15185.73,1560.67,67761.48,21249.0,3231.48,28,2023-09-09
CC0051,4028795736375995,11797.52,3552.71,2633.24,3844.06,43317.73,4744.04,1197.19,30,2023-03-16
CC0052,3617369654035687,37783.96,27225.47,16779.52,774.77,68956.02,28947.74,3091.74,12,2023-03-30
CC0053,1301215500179225,41478.28,35596.43,15283.82,6518.55,58678.73,21837.93,10727.77,31,2023-09-29
CC0054,2948806406858069,43627.29,33184.11,8874.27,9114.99,77364.39,37933.8,18765.42,25,2024-05-10
CC0055,9582324711462772,41710.57,531.99,358.47,4579.44,73321.82,12405.25,5198.77,16,2024-01-14
CC0056,3810666128164132,43652.33,39378.65,22357.73,6809.18,66508.11,37791.46,13347.61,16,2024-07-10
CC0057,7921295916039989,33613.82,20200.4,551.59,6430.27,43159.94,33393.02,8308.09,34,2024-05-01
CC0058,4192291534619198,42155.55,22438.09,20245.28,3290.72,53112.78,33840.36,6012.92,27,2024-02-26
CC0059,2326100270314425,38400.55,4666.31,3449.58,1094.84,82445.83,1702.67,579.83,6,2023-01-04
CC0060,5370986172928832,7420.31,4508.27,4386.24,5294.68,46551.46,2194.37,287.52,11,2023-01-25
CC0061,7073197175762837,30599.43,11884.94,4285.97,8949.33,53592.32,21459.19,5535.11,29,2024-04-06
CC0062,3354724018915991,1422.25,1013.74,341.63,7462.84,47298.45,760.36,232.88,35,2023-04-26
CC0063,5553513592076679,26494.38,14060.58,12525.49,8804.82,54354.16,3520.85,1592.58,16,2024-07-25
CC0064,4662344962278761,38854.08,27287.29,190.03,4771.53,67468.9,4665.16,1547.66,12,2023-11-07
CC0065,3429664312188518,8455.89,6394.9,2582.5,7664.29,15648.32,95.43,32.63,6,2024-08-25
CC0066,8786972809957810,5869.88,507.87,501.67,2481.56,13668.04,3090.39,902.48,24,2024-05-25
CC0067,3971647990974223,43969.46,2070.17,1178.0,1940.51,77057.43,28688.2,3585.72,31,2023-08-11
CC0068,9291496733106009,39899.62,16123.76,1432.77,5827.44,74329.15,10825.68,3421.1,16,2024-06-14
CC0069,6919563938651604,41706.4,22468.34,9071.85,7544.89,53967.74,2157.45,500.13,36,2024-12-16
CC0070,8282113591613657,1753.99,904.9,527.98,9613.41,38066.16,299.28,123.52,11,2024-09-18
CC0071,8478350169393361,16774.81,1248.41,1244.05,1805.74,66142.18,15057.64,5410.02,27,2024-05-05
CC0072,1625626657816574,40071.11,15334.73,14321.86,219.34,67698.61,5204.62,1097.06,29,2024-10-11
CC0073,2101923702669191,18897.17,3616.27,1230.6,9448.3,52676.44,14893.05,7236.31,28,2023-08-01
CC0074,6524394356840065,35601.37,13849.24,4660.29,5067.13,75142.44,12159.35,5195.79,27,2023-05-01
CC0075,4918824367580066,8703.96,4503.87,386.66,1550.9,14177.96,7896.94,2837.9,15,2023-09-08
CC0076,2105690171645441,5613.77,1414.19,1077.2,3365.07,30774.36,4396.0,1993.76,28,2024-06-13
CC0077,4175022783116952,13166.61,5125.3,3627.94,7326.91,26902.57,2249.71,378.25,24,2023-02-27
CC0078,3240072121878542,24441.85,4706.73,2772.6,9439.53,42925.47,8358.51,1681.57,19,2023-07-21
CC0079,9904331682077852,40210.72,13693.21,1834.57,373.53,74122.61,33204.72,7292.55,9,2024-09-12
CC0080,2713397450214531,5429.03,3297.24,980.27,4708.57,39149.54,4307.9,1529.91,36,2023-10-17
CC0081,3913261455092540,26780.2,6583.36,5896.28,754.0,57110.48,17458.53,8629.77,33,2024-07-07
CC0082,7095263627422585,11567.35,5108.57,4587.48,255.37,61560.26,6674.89,3136.86,27,2024-11-12
CC0083,5570874765286838,44009.34,9285.92,8845.97,4786.83,77841.17,18580.85,8686.71,15,2023-08-20
CC0084,4383350689744468,33792.52,15734.32,7057.95,6059.88,66445.5,33120.65,14645.95,11,2024-09-19
CC0085,8071796532170911,25211.37,12184.17,10985.63,4069.59,68444.38,7280.32,3155.74,28,2024-02-08
CC0086,4658894921475857,3877.32,3219.14,2820.73,2514.47,34784.86,2306.86,914.58,34,2023-06-12
CC0087,6436902585525161,8054.21,4896.56,4733.36,8856.63,14318.1,3636.27,1387.8,17,2024-08-03
CC0088,8983437024105283,18863.96,8096.59,1962.52,592.47,64957.05,4339.79,1907.23,36,2023-09-27
CC0089,1727147780960201,18451.81,2463.05,457.78,5157.77,44639.68,5412.03,2614.29,24,2024-12-22
CC0090,3200242636326184,23551.15,17761.93,17634.69,3812.73,64539.75,5636.55,794.46,29,2024-11-13
CC0091,2183538412731063,28512.89,26980.21,20660.27,1248.09,68500.37,20213.18,8703.44,24,2024-11-23
CC0092,6377027002100580,29612.42,24157.04,23071.52,9425.16,79543.0,22000.05,5966.59,30,2023-11-17
CC0093,6804285038853671,23344.25,7774.43,6424.56,4748.31,51623.03,8507.86,3081.3,30,2023-10-30
CC0094,1804718830310112,23683.93,11956.58,7902.39,2896.93,58861.37,19143.04,4412.61,29,2024-02-08
CC0095,7062154464797618,16535.93,10631.58,2571.44,8933.97,39957.28,2117.21,253.81,30,2024-05-28
CC0096,4518185381243831,41173.47,11497.47,41.64,6008.23,61702.8,21831.17,8467.18,33,2023-10-01
CC0097,1997653048272155,3295.23,1030.92,657.44,7015.54,40292.62,407.43,107.44,10,2023-03-19
CC0098,8740649220735562,2850.35,2112.61,2048.5,5857.6,33787.33,2383.43,1159.46,12,2024-10-09
CC0099,1989484707173021,18463.95,13448.39,13326.45,2049.7,49888.59,4711.16,2015.88,21,2024-02-19
CC0100,5984576210520681,42940.68,39970.01,28436.16,5896.02,66892.08,8363.03,3564.14,30,2023-09-07
CC0101,4357110234770472,33559.24,2161.73,352.79,7858.38,82775.6,27869.36,3865.35,12,2024-08-03
CC0102,3729981876322108,46510.81,4541.24,3820.98,2786.85,63318.73,38680.61,16599.82,34,2023-01-23
CC0103,6948272148463462,23107.33,11249.31,2865.99,9898.48,43921.39,20858.2,8535.07,27,2023-09-07
CC0104,3072731256966146,44762.01,27324.64,9727.83,1106.4,92853.6,43926.69,11288.56,19,2024-10-22
CC0105,0533920330098989,11076.9,4778.8,542.27,3309.69,30055.0,2473.32,508.1,23,2024-06-24
CC0106,1184629820107228,23803.49,17964.25,1431.77,4139.39,73181.25,12280.14,4984.58,23,2024-11-26
CC0107,9833732025353965,37757.71,34367.26,216.15,6988.09,83000.73,15544.76,6807.88,27,2024-03-02
CC0108,0741688113469841,31398.9,23978.54,13296.23,9197.23,52949.48,6162.6,2027.63,31,2023-04-11
CC0109,7500956148801939,14404.19,4522.59,1080.44,7430.49,40900.47,1153.23,462.09,15,2023-09-05
CC0110,9159367535946457,18443.51,13123.54,9488.04,8901.13,58347.17,15925.26,5662.59,12,2023-08-05
CC0111,8796020415583019,42941.36,30085.24,24855.9,2965.68,81746.96,9660.51,1677.89,29,2023-06-03
CC0112,8331090692951249,1636.4,702.22,679.51,679.5,47080.22,1535.11,637.3,7,2024-11-13
CC0113,0913253112904727,36596.65,977.8,676.98,9450.32,46246.8,27728.78,6739.67,12,2023-06-25
CC0114,5053034658555024,12424.09,5691.44,1752.28,1015.94,18925.37,5494.67,2019.99,7,2024-07-29
CC0115,6004512664978443,24646.12,9768.7,1134.63,5808.61,36343.75,19159.6,4047.4,17,2023-06-10
CC0116,8791488134157919,43702.43,26012.84,4557.84,5563.04,70740.44,4805.73,1693.36,9,2023-03-17
CC0117,0079851921804399,22355.72,3934.84,1926.26,1189.89,46963.38,4405.87,823.15,34,2024-05-04
CC0118,5230352602486966,45722.46,30377.97,27469.63,1955.81,64740.03,33506.45,5263.45,11,2024-11-20
CC0119,1682419753328409,47340.33,45536.93,33068.57,1435.51,63291.28,38856.0,7149.93,12,2024-03-08
CC0120,5641816230927078,44992.36,37409.94,24424.95,5314.48,53649.78,34983.17,3643.13,31,2024-04-20
CC0121,2924299906396773,30306.98,5789.06,3758.64,6532.32,72395.69,5537.12,1293.57,9,2023-06-21
CC0122,6833174301719910,20946.18,1815.04,1266.77,7299.85,39557.21,17518.21,5629.84,25,2024-09-15
CC0123,7416492730559319,15059.17,2337.9,2157.12,563.48,26642.19,8327.96,3250.71,24,2024-08-23
CC0124,5785890016780739,17604.42,7356.42,5564.82,2244.82,60487.62,9527.73,3922.87,36,2024-04-25
CC0125,7840168897274856,4933.45,2222.59,356.54,1761.79,29840.03,1455.05,309.53,20,2024-02-06
CC0126,2198211217859012,42388.11,28310.99,4159.89,2181.37,83219.09,41576.33,8970.02,17,2024-08-22
CC0127,9147092650648237,30668.61,3354.32,2896.55,2210.32,57812.12,5539.51,2187.72,8,2024-12-10
CC0128,8329411168669890,28697.7,24806.06,21123.17,7941.28,65355.21,12399.85,4871.35,32,2023-11-03
CC0129,0509227728663453,46950.06,930.37,255.46,457.72,87513.41,33533.92,7142.33,35,2023-04-19
CC0130,6444335842467084,49216.74,15764.71,4329.96,4882.54,63124.06,23772.01,8633.22,16,2024-02-11
CC0131,9811047485318246,39886.72,33067.8,2000.46,4570.36,70125.11,9232.11,4522.7,17,2024-10-04
CC0132,4321812641507956,24995.43,19219.05,15763.28,3608.14,58580.01,10686.28,4379.05,8,2024-12-06
CC0133,2013583422982696,5743.08,3925.9,3379.11,6259.97,25703.65,2150.87,666.97,10,2024-06-03
CC0134,1362276792790541,45526.05,40238.16,4680.01,5865.08,63243.09,19540.31,3852.54,22,2023-09-05
CC0135,6369050731441204,22512.75,9378.12,5578.84,1808.37,39038.51,19086.59,8057.5,26,2024-01-31
CC0136,3216038080736511,47560.64,10388.7,1658.9,9107.62,64476.28,22363.19,5559.41,9,2023-11-09
CC0137,8218809790143735,23148.49,792.53,721.89,1008.32,34135.72,9924.76,4874.25,31,2024-11-15
CC0138,0019298809288200,47145.05,15815.32,8594.09,9658.78,79751.11,23610.92,10072.24,27,2024-01-12
CC0139,9462613221682808,5013.55,1302.32,615.12,7199.79,10185.59,2275.12,969.89,15,2024-03-23
CC0140,2538443665204102,20647.24,10947.98,2438.6,8268.42,54215.59,18497.09,7445.95,29,2024-09-17
CC0141,5008723395178801,13787.54,11813.81,909.55,1746.91,49750.42,1878.04,843.83,22,2023-04-24
CC0142,9826425826244863,30398.91,28836.41,20450.38,4386.2,67432.71,9587.0,2221.44,7,2023-02-16
CC0143,1803567215240938,12522.51,4787.44,2384.09,3173.35,62332.13,5648.44,2053.37,24,2024-04-15
CC0144,9672770412562487,39413.99,3255.58,1934.69,8714.84,53552.91,30736.6,13953.58,31,2023-12-29
CC0145,6370082512381962,39884.56,29144.65,19043.15,4276.08,79961.74,30834.8,11439.34,30,2023-10-10
CC0146,7773362342528966,37220.9,15289.58,6870.99,3378.18,52052.76,12882.65,3120.77,30,2024-04-16
CC0147,3824079365289988,45484.27,16807.44,15266.71,6405.92,52293.58,16365.77,5457.72,27,2023-02-12
CC0148,6337067910428557,31229.12,17555.94,3523.12,8947.56,71790.7,22276.76,5801.31,30,2024-07-29
CC0149,2308803559887142,7031.01,1597.58,1172.1,8298.0,52591.78,5278.86,1080.09,18,2024-02-13
CC0150,0458945328435788,13850.59,10807.14,1216.6,6916.12,31378.54,4985.08,1488.33,26,2023-12-28
CC0151,4134530453356657,38951.91,6152.55,4885.57,1863.76,82335.44,29676.6,4992.31,31,2024-01-03
CC0152,8596256081085788,3420.01,1391.62,1265.57,5021.8,31427.86,681.21,89.97,25,2024-02-09
CC0153,1764432907658244,37036.98,22142.14,11277.67,9014.94,77527.15,9965.55,4587.04,31,2023-12-16
CC0154,4850678144649459,30147.63,8277.17,5360.59,5954.28,78103.36,27986.87,12091.55,9,2023-02-13
CC0155,6153433667128810,34584.8,15462.16,8854.77,192.44,75335.92,18068.9,3641.94,22,2023-05-19
CC0156,4179465225662952,47481.37,10248.39,32.82,3648.89,62371.66,322.66,43.32,31,2023-08-28
CC0157,2708725466223088,20040.15,2756.22,923.02,9502.69,60274.08,3221.42,382.73,8,2023-07-13
CC0158,3395975235796593,4972.39,3193.97,2389.21,4608.86,30756.42,1781.02,511.49,14,2023-02-08
CC0159,9360242011970256,7965.84,3333.28,151.94,7380.85,22278.0,3275.66,597.61,6,2024-01-17
CC0160,7470767031005111,44208.98,8008.33,5759.04,4355.25,54000.56,22521.64,9231.04,10,2024-08-19
CC0161,3835865581284855,2618.33,1190.53,296.27,8554.41,39404.97,2129.27,799.07,20,2024-06-19
CC0162,7384110734294641,37222.44,30428.17,24945.58,1140.31,52593.66,7114.8,1823.78,34,2023-02-27
CC0163,8582592982812281,22036.88,3009.64,1599.94,9087.17,36589.61,17191.91,5627.35,27,2023-04-27
CC0164,9460078518157750,47307.61,4539.4,2807.16,3267.06,74687.41,10343.98,1744.43,25,2023-06-22
CC0165,2396687293631786,47209.6,3162.42,2076.49,9790.07,75763.18,26431.35,9515.23,32,2024-09-19
CC0166,0052238924125637,13410.31,12546.71,10508.06,4331.34,21432.75,4019.13,473.3,26,2024-05-25
CC0167,0873711617413527,1255.34,513.53,270.9,7554.05,29142.31,1075.56,199.3,15,2023-01-08
CC0168,9716283475480029,5518.53,4567.21,4058.27,1648.39,53486.09,2975.7,798.82,8,2024-02-04
CC0169,0722389708952098,40818.18,30709.14,27684.09,7756.57,73691.47,2064.84,738.69,35,2023-04-05
CC0170,8710912676181828,35025.71,7093.27,609.93,6949.29,44450.89,7208.65,2852.29,26,2024-10-27
CC0171,1035741231577073,12478.77,535.17,470.95,6332.17,25713.96,11101.35,3911.77,10,2024-09-20
CC0172,1310316309840863,2988.32,2736.02,1873.77,6271.95,26064.82,843.0,190.6,31,2024-07-19
CC0173,5693440788586189,13226.19,2021.98,1142.31,5850.36,21757.01,11308.61,3434.34,19,2024-10-28
CC0174,3035994012361660,11038.98,3130.96,1768.17,6745.35,60880.15,157.41,59.76,16,2024-11-19
CC0175,8861565312341577,49538.96,42068.22,36518.9,8201.63,66070.21,42178.82,18217.21,28,2023-10-02
CC0176,1699307712321275,31900.72,1700.95,976.62,7099.1,73631.72,28373.07,5932.27,15,2024-06-01
CC0177,7372277015590053,38226.82,16478.33,1635.63,320.23,74667.22,3967.5,1088.35,21,2024-11-12
CC0178,2080964927167296,29137.77,6896.94,2664.57,5637.77,62586.65,17837.88,3700.63,11,2023-08-07
CC0179,0679467331671988,45252.2,18151.02,7574.77,8166.65,60663.65,33405.87,5144.56,19,2023-06-03
CC0180,8918378952649254,19083.48,3859.31,1374.51,2541.4,41265.68,7385.39,3189.75,18,2023-09-06
CC0181,8723951745184813,8182.96,5674.38,2456.08,6465.55,22321.49,2053.66,912.64,19,2024-07-08
CC0182,3789265495279713,9495.46,6673.14,6588.56,2237.29,24977.51,2.22,0.41,13,2023-08-26
CC0183,6191343169173398,27110.51,4925.63,1581.77,1005.98,56938.54,18007.95,4459.37,23,2024-04-09
CC0184,7638253077601326,36514.28,10312.13,1097.27,9802.38,53883.57,35523.03,3750.51,19,2023-02-14
CC0185,4679323670536105,6605.49,5757.12,2118.3,7275.85,20546.02,4070.7,507.96,20,2023-05-29
CC0186,8255146906153399,20271.36,2744.98,627.85,4552.72,33375.8,4083.63,1408.27,26,2023-04-28
CC0187,9022333484600603,1076.97,1074.78,575.16,9939.96,29169.87,279.83,98.82,25,2024-08-15
CC0188,2792428981856091,43533.56,23880.41,14372.34,2612.28,49702.02,24773.58,8794.78,17,2024-01-29
CC0189,5291930567514726,34621.68,19156.16,10900.03,2774.58,47221.57,34607.22,12055.81,30,2024-02-12
CC0190,8848190331718035,37654.17,30211.37,27817.6,9101.95,54419.74,31378.67,6355.04,33,2023-12-02
CC0191,3399160373102511,34888.91,27259.91,24323.92,1965.82,62077.01,16656.74,7642.46,8,2023-07-08
CC0192,4920855545950418,5334.4,3674.36,3473.38,8183.2,22799.32,1323.83,475.05,28,2023-01-13
CC0193,9837832198009373,25885.74,25262.68,15912.39,550.92,41898.89,14453.11,2794.02,9,2023-07-24
CC0194,2790332253049100,27063.95,16485.46,1864.14,6642.95,66815.45,13794.36,5176.64,36,2023-07-27
CC0195,0860642772594721,15189.96,1996.26,1503.23,238.46,27736.41,12666.7,1982.58,27,2023-12-19
CC0196,7286559027671685,26482.68,15059.2,12833.99,6913.81,71385.48,16135.16,4647.96,10,2024-06-06
CC0197,6455188143133282,31354.51,21973.01,21300.14,774.42,57473.4,1915.26,339.85,30,2023-11-17
CC0198,5541398171464213,30842.64,23968.96,3350.29,2515.23,58633.9,16545.13,5112.07,10,2024-03-27
CC0199,0734332722203908,39831.37,18686.88,12265.34,4481.26,89726.28,11242.63,4160.34,15,2024-08-22
CC0200,1792280351458624,23465.93,7957.51,3657.5,257.49,65858.75,18526.38,4944.26,18,2023-07-11
CC0201,7756434682072510,13985.12,3889.68,3288.69,4299.82,30630.89,5755.83,2500.68,23,2024-02-10
CC0202,0042749986133708,28494.61,23184.84,6041.88,6285.88,34935.9,22230.39,5457.45,7,2024-02-20
CC0203,7363242036671482,2561.5,2026.68,1855.85,6455.16,22400.26,1081.38,453.2,28,2023-11-19
CC0204,7773813416427165,45989.3,22270.4,1603.54,1943.58,58263.75,24607.12,10582.88,28,2023-09-14
CC0205,4382785968317482,25264.82,17608.88,9751.24,1210.73,65233.69,1806.22,629.4,31,2023-05-15
CC0206,0225078956518516,19574.09,13445.47,10537.48,6616.92,40811.13,5066.81,1687.29,34,2023-10-17
CC0207,1705287301468212,14848.15,9860.03,2029.0,7447.9,20672.66,13970.09,1776.2,36,2024-11-03
CC0208,7388022278692292,12107.92,921.87,38.08,9658.73,50424.3,7371.88,760.44,11,2024-03-11
CC0209,5421467616472953,31464.17,17787.69,14498.29,2558.61,53368.43,28670.08,6140.57,7,2024-05-30
CC0210,8791742075256363,35692.11,24056.42,23443.54,1931.37,43763.28,15045.48,6471.95,13,2024-12-14
CC0211,0996622906347013,20673.96,16219.47,2540.61,6667.78,67102.28,16168.1,3404.4,31,2024-03-21
CC0212,4939071329753357,11297.18,4606.09,550.18,3740.66,55415.22,32.39,13.68,36,2024-12-20
CC0213,4068443510868385,27928.6,10575.02,1667.2,6043.5,33927.95,9847.73,1157.62,16,2024-10-14
CC0214,9589288660956259,46675.86,10344.58,2987.0,5706.24,79465.33,17025.75,4550.04,34,2024-02-28
CC0215,3724380580376650,42176.6,21817.01,14792.16,9083.18,58605.65,8379.3,3342.65,14,2024-12-30
CC0216,8303712584543137,38725.65,11147.76,2071.08,9614.67,46431.81,25821.07,10500.97,30,2024-07-09
CC0217,2810884383213213,32927.85,19175.21,17789.67,8285.32,66444.24,25119.17,6156.87,28,2024-05-08
CC0218,8962884781589685,30715.37,5208.27,485.05,6986.91,63841.64,12923.98,4532.83,22,2023-06-10
CC0219,1359129231078466,35360.64,22571.08,8576.69,1016.11,60258.84,3129.27,1564.23,12,2023-06-22
CC0220,7388279741397317,45790.49,836.72,372.39,4292.94,64511.85,31000.21,6620.92,22,2023-11-18
CC0221,8452112944354006,8840.41,1231.41,1216.78,4978.36,48017.01,4638.39,632.22,6,2024-09-17
CC0222,6076045650163857,13207.91,8269.37,3398.21,8917.8,58186.42,10092.86,2865.43,6,2024-07-18
CC0223,1450823783852635,35341.34,6104.5,2651.48,9357.11,55732.51,27525.17,8981.87,12,2024-11-24
CC0224,1730901913468003,21277.2,20328.16,7400.5,2743.04,32912.62,9121.18,1487.05,21,2024-02-10
CC0225,1518193310434746,17057.28,1956.73,1694.67,930.0,58338.06,8670.45,1187.12,33,2024-07-15
CC0226,8614980924898545,25154.1,8079.84,4627.34,5582.53,42182.47,24033.15,4717.0,31,2024-05-30
CC0227,0254440869919775,18991.02,12820.02,4063.92,7547.79,58167.36,11503.2,1786.87,34,2023-10-02
CC0228,9090959444405655,34332.17,26424.95,16271.79,8961.72,44366.07,16877.47,5320.89,30,2023-05-21
CC0229,3130078152778702,7131.11,4765.83,4211.39,9378.73,41445.39,1982.36,910.08,21,2024-04-27
CC0230,2348902621819892,47688.94,14645.61,402.24,4759.94,76972.34,46057.88,17005.98,23,2024-02-04
CC0231,3645895496716089,2005.0,1698.44,803.97,7509.39,45169.56,1324.22,208.01,28,2024-12-25
CC0232,1315509023075049,6511.23,2980.73,864.16,4292.33,22844.34,3459.8,1198.65,25,2024-10-09
CC0233,7533659896432249,3504.63,705.75,320.91,5789.61,25463.13,1179.92,482.7,20,2023-02-13
CC0234,4080639282382664,20757.61,2097.0,2077.86,1838.5,61107.01,13089.88,6092.24,32,2023-09-27
CC0235,5078490296591761,38258.96,38028.44,11374.96,609.87,78595.43,34532.9,13622.83,12,2023-02-16
CC0236,6686238127758430,46380.54,24384.99,4194.78,7948.87,56406.18,42345.35,21095.23,9,2023-08-23
CC0237,6998790454643738,35338.39,30943.96,27977.11,4048.53,84925.39,17454.87,7665.64,11,2024-05-23
CC0238,6855146124465808,40136.32,22185.57,2438.07,6257.14,50089.65,34646.96,8088.12,11,2024-11-21
CC0239,6425915433974808,35485.94,26089.64,11492.66,61.17,42092.0,21751.05,8008.97,14,2023-08-19
CC0240,4517929687729188,47748.05,12734.59,10719.54,9074.44,69816.35,7165.07,2054.35,32,2024-06-05
CC0241,6409322349268132,8751.63,7079.62,770.5,5598.62,43440.89,5991.86,1125.73,15,2023-12-15
CC0242,2656284088764749,15458.83,5629.81,5343.62,3553.8,54034.82,943.6,258.8,34,2024-09-10
CC0243,8588713811184492,10664.93,4857.15,4431.54,9177.92,17247.56,1175.24,553.62,13,2023-09-15
CC0244,1301672507393183,22328.37,20259.48,15150.51,8470.13,60092.79,3263.12,1454.66,32,2024-06-25
CC0245,7070336922494728,43994.05,29525.96,10794.39,27.27,78260.99,23917.36,2800.39,17,2023-09-11
CC0246,5452553622809375,47298.27,12625.97,10817.53,3174.88,76154.54,30179.68,8945.87,17,2023-10-01
CC0247,2907433892656231,29550.03,17431.77,2666.25,3.12,49431.11,21333.83,7559.33,14,2023-03-26
CC0248,2150684982149512,30060.8,8338.42,7844.18,7125.57,63876.71,27525.37,7232.65,30,2024-08-11
