client_id,client_name,industry_segment,contact_person,contact_email,city,state,created_at
CLNT90048,IndustrialClient_48,Construction,Contact_48,client48@example.com,Nagpur,Delhi,2024-03-01 15:21:35
CLNT90049,IndustrialClient_49,Automotive,Contact_49,client49@example.com,Lucknow,Telangana,2024-09-29 00:42:06
CLNT90050,IndustrialClient_50,Marine,Contact_50,client50@example.com,Bengaluru,Maharashtra,2024-12-26 01:27:01
CLNT90051,IndustrialClient_51,Construction,Contact_51,client51@example.com,Jaipur,Maharashtra,2023-02-24 21:30:11
CLNT90052,IndustrialClient_52,Automotive,Contact_52,client52@example.com,Mumbai,Gujarat,2023-08-05 22:50:29
CLNT90053,IndustrialClient_53,Marine,Contact_53,client53@example.com,Bengaluru,Telangana,2023-02-13 09:31:54
CLNT90054,IndustrialClient_54,Automotive,Contact_54,client54@example.com,Bengaluru,Maharashtra,2024-01-31 10:28:20
CLNT90055,IndustrialClient_55,Aerospace,Contact_55,client55@example.com,Jaipur,Maharashtra,2025-02-08 13:48:10
CLNT90056,IndustrialClient_56,Construction,Contact_56,client56@example.com,Pune,Maharashtra,2024-04-26 01:24:15
CLNT90057,IndustrialClient_57,Marine,Contact_57,client57@example.com,Jaipur,Rajasthan,2024-01-14 16:55:08
CLNT90058,IndustrialClient_58,Construction,Contact_58,client58@example.com,Mumbai,Tamil Nadu,2025-08-24 10:36:46
CLNT90059,IndustrialClient_59,Automotive,Contact_59,client59@example.com,Nagpur,Gujarat,2024-04-18 02:44:09
CLNT90060,IndustrialClient_60,Construction,Contact_60,client60@example.com,Kolkata,Maharashtra,2023-10-02 19:01:17
CLNT90061,IndustrialClient_61,Automotive,Contact_61,client61@example.com,Bengaluru,Maharashtra,2025-06-28 02:02:19
CLNT90062,IndustrialClient_62,Automotive,Contact_62,client62@example.com,Kolkata,Rajasthan,2025-01-28 08:14:26
CLNT90063,IndustrialClient_63,Construction,Contact_63,client63@example.com,Surat,West Bengal,2024-02-01 18:23:20
CLNT90064,IndustrialClient_64,Marine,Contact_64,client64@example.com,Hyderabad,Telangana,2025-02-15 05:03:04
CLNT90065,IndustrialClient_65,Automotive,Contact_65,client65@example.com,Nagpur,Maharashtra,2024-05-25 09:20:23
CLNT90066,IndustrialClient_66,Marine,Contact_66,client66@example.com,Jaipur,Uttar Pradesh,2025-09-18 11:56:13
CLNT90067,IndustrialClient_67,Automotive,Contact_67,client67@example.com,Lucknow,West Bengal,2025-01-14 08:15:43
CLNT90068,IndustrialClient_68,Construction,Contact_68,client68@example.com,Nagpur,Telangana,2024-10-28 10:14:24
CLNT90069,IndustrialClient_69,Automotive,Contact_69,client69@example.com,Nagpur,Karnataka,2024-12-07 01:59:22
CLNT90070,IndustrialClient_70,Marine,Contact_70,client70@example.com,Mumbai,Maharashtra,2023-09-01 18:27:42
CLNT90071,IndustrialClient_71,Marine,Contact_71,client71@example.com,Chennai,Gujarat,2023-08-20 06:20:18
CLNT90072,IndustrialClient_72,Construction,Contact_72,client72@example.com,Lucknow,West Bengal,2023-02-26 02:29:29
CLNT90073,IndustrialClient_73,Construction,Contact_73,client73@example.com,Ahmedabad,Rajasthan,2023-11-29 09:16:05
CLNT90074,IndustrialClient_74,Marine,Contact_74,client74@example.com,Kolkata,Karnataka,2023-11-05 14:33:13
CLNT90075,IndustrialClient_75,Automotive,Contact_75,client75@example.com,Delhi,Maharashtra,2025-06-14 16:07:00
CLNT90076,IndustrialClient_76,Construction,Contact_76,client76@example.com,Lucknow,Karnataka,2024-07-26 09:10:52
CLNT90077,IndustrialClient_77,Construction,Contact_77,client77@example.com,Delhi,Telangana,2024-05-23 17:20:52
CLNT90078,IndustrialClient_78,Aerospace,Contact_78,client78@example.com,Delhi,Maharashtra,2023-08-27 00:44:30
CLNT90079,IndustrialClient_79,Automotive,Contact_79,client79@example.com,Surat,Telangana,2023-01-05 21:46:50
CLNT90080,IndustrialClient_80,Construction,Contact_80,client80@example.com,Bengaluru,Gujarat,2024-12-04 05:57:49
CLNT90081,IndustrialClient_81,Construction,Contact_81,client81@example.com,Hyderabad,Maharashtra,2024-05-25 03:43:13
CLNT90082,IndustrialClient_82,Marine,Contact_82,client82@example.com,Lucknow,Gujarat,2025-05-14 10:18:58
CLNT90083,IndustrialClient_83,Aerospace,Contact_83,client83@example.com,Lucknow,Rajasthan,2025-01-10 18:47:12
CLNT90084,IndustrialClient_84,Marine,Contact_84,client84@example.com,Hyderabad,Maharashtra,2025-12-19 10:40:03
CLNT90085,IndustrialClient_85,Aerospace,Contact_85,client85@example.com,Lucknow,Telangana,2025-04-21 09:51:20
CLNT90086,IndustrialClient_86,Automotive,Contact_86,client86@example.com,Surat,Maharashtra,2024-12-07 10:58:49
CLNT90087,IndustrialClient_87,Aerospace,Contact_87,client87@example.com,Kolkata,Tamil Nadu,2023-01-31 00:53:45
CLNT90088,IndustrialClient_88,Automotive,Contact_88,client88@example.com,Hyderabad,Uttar Pradesh,2024-05-22 17:22:21
CLNT90089,IndustrialClient_89,Marine,Contact_89,client89@example.com,Bengaluru,Delhi,2023-06-15 02:40:26
CLNT90090,IndustrialClient_90,Marine,Contact_90,client90@example.com,Chennai,Maharashtra,2023-05-15 20:24:23
CLNT90091,IndustrialClient_91,Marine,Contact_91,client91@example.com,Chennai,Maharashtra,2023-09-29 13:06:53
CLNT90092,IndustrialClient_92,Aerospace,Contact_92,client92@example.com,Bengaluru,Maharashtra,2023-01-18 04:56:55
CLNT90093,IndustrialClient_93,Aerospace,Contact_93,client93@example.com,Surat,Tamil Nadu,2025-11-10 14:53:52
CLNT90094,IndustrialClient_94,Construction,Contact_94,client94@example.com,Surat,Maharashtra,2024-10-16 08:00:24
CLNT90095,IndustrialClient_95,Aerospace,Contact_95,client95@example.com,Nagpur,Telangana,2023-03-17 07:17:11
CLNT90096,IndustrialClient_96,Marine,Contact_96,client96@example.com,Delhi,Tamil Nadu,2025-12-13 23:35:28
CLNT90097,IndustrialClient_97,Aerospace,Contact_97,client97@example.com,Kolkata,Gujarat,2023-12-30 06:08:26
CLNT90098,IndustrialClient_98,Automotive,Contact_98,client98@example.com,Bengaluru,Gujarat,2023-08-15 12:10:14
CLNT90099,IndustrialClient_99,Automotive,Contact_99,client99@example.com,Hyderabad,Uttar Pradesh,2025-03-21 23:37:00
CLNT90100,IndustrialClient_100,Construction,Contact_100,client100@example.com,Ahmedabad,Karnataka,2025-01-07 17:10:18
CLNT90101,IndustrialClient_101,Construction,Contact_101,client101@example.com,Kolkata,Tamil Nadu,2023-05-17 08:15:55
CLNT90102,IndustrialClient_102,Aerospace,Contact_102,client102@example.com,Chennai,Rajasthan,2023-05-10 19:54:02
CLNT90103,IndustrialClient_103,Aerospace,Contact_103,client103@example.com,Mumbai,Gujarat,2024-03-29 13:47:17
CLNT90104,IndustrialClient_104,Aerospace,Contact_104,client104@example.com,Pune,West Bengal,2025-05-13 15:56:31
CLNT90105,IndustrialClient_105,Aerospace,Contact_105,client105@example.com,Kolkata,Telangana,2024-08-11 16:56:19
CLNT90106,IndustrialClient_106,Construction,Contact_106,client106@example.com,Pune,Maharashtra,2025-06-08 21:59:52
CLNT90107,IndustrialClient_107,Aerospace,Contact_107,client107@example.com,Bengaluru,Telangana,2024-06-26 00:55:50
CLNT90108,IndustrialClient_108,Aerospace,Contact_108,client108@example.com,Delhi,Maharashtra,2023-10-31 11:18:33
CLNT90109,IndustrialClient_109,Automotive,Contact_109,client109@example.com,Chennai,West Bengal,2024-12-10 12:53:13
CLNT90110,IndustrialClient_110,Aerospace,Contact_110,client110@example.com,Ahmedabad,Maharashtra,2025-08-28 00:01:13
CLNT90111,IndustrialClient_111,Construction,Contact_111,client111@example.com,Surat,Delhi,2024-12-12 01:49:24
CLNT90112,IndustrialClient_112,Construction,Contact_112,client112@example.com,Jaipur,Karnataka,2025-04-07 22:01:34
CLNT90113,IndustrialClient_113,Marine,Contact_113,client113@example.com,Pune,Uttar Pradesh,2024-07-15 21:42:30
CLNT90114,IndustrialClient_114,Aerospace,Contact_114,client114@example.com,Surat,Maharashtra,2024-02-28 03:48:17
CLNT90115,IndustrialClient_115,Automotive,Contact_115,client115@example.com,Bengaluru,Tamil Nadu,2025-04-16 22:14:47
CLNT90116,IndustrialClient_116,Aerospace,Contact_116,client116@example.com,Chennai,Gujarat,2025-04-14 20:50:00
CLNT90117,IndustrialClient_117,Construction,Contact_117,client117@example.com,Ahmedabad,Maharashtra,2024-04-08 10:27:45
CLNT90118,IndustrialClient_118,Construction,Contact_118,client118@example.com,Surat,Gujarat,2023-09-16 17:11:21
CLNT90119,IndustrialClient_119,Aerospace,Contact_119,client119@example.com,Hyderabad,Maharashtra,2023-03-01 21:09:52
CLNT90120,IndustrialClient_120,Marine,Contact_120,client120@example.com,Bengaluru,Rajasthan,2024-09-09 15:36:28
CLNT90121,IndustrialClient_121,Marine,Contact_121,client121@example.com,Ahmedabad,Maharashtra,2024-04-29 11:08:47
CLNT90122,IndustrialClient_122,Automotive,Contact_122,client122@example.com,Nagpur,West Bengal,2023-10-16 03:38:06
CLNT90123,IndustrialClient_123,Marine,Contact_123,client123@example.com,Pune,Karnataka,2023-10-16 00:12:20
CLNT90124,IndustrialClient_124,Marine,Contact_124,client124@example.com,Hyderabad,Delhi,2023-07-01 03:20:50
CLNT90125,IndustrialClient_125,Construction,Contact_125,client125@example.com,Lucknow,Karnataka,2025-02-21 05:26:32
CLNT90126,IndustrialClient_126,Aerospace,Contact_126,client126@example.com,Lucknow,Telangana,2025-06-01 21:47:52
CLNT90127,IndustrialClient_127,Marine,Contact_127,client127@example.com,Jaipur,Telangana,2024-04-08 08:53:43
CLNT90128,IndustrialClient_128,Aerospace,Contact_128,client128@example.com,Ahmedabad,Maharashtra,2023-04-24 20:20:14
CLNT90129,IndustrialClient_129,Construction,Contact_129,client129@example.com,Ahmedabad,Rajasthan,2025-08-07 12:40:14
CLNT90130,IndustrialClient_130,Automotive,Contact_130,client130@example.com,Pune,Maharashtra,2025-05-13 19:31:54
CLNT90131,IndustrialClient_131,Construction,Contact_131,client131@example.com,Chennai,Maharashtra,2024-07-03 01:36:36
CLNT90132,IndustrialClient_132,Automotive,Contact_132,client132@example.com,Lucknow,Maharashtra,2024-01-16 15:26:27
CLNT90133,IndustrialClient_133,Marine,Contact_133,client133@example.com,Lucknow,Gujarat,2025-11-26 16:09:01
CLNT90134,IndustrialClient_134,Construction,Contact_134,client134@example.com,Mumbai,Maharashtra,2025-05-14 22:51:24
CLNT90135,IndustrialClient_135,Automotive,Contact_135,client135@example.com,Surat,Tamil Nadu,2025-10-07 01:25:30
CLNT90136,IndustrialClient_136,Marine,Contact_136,client136@example.com,Surat,Maharashtra,2023-12-24 22:03:00
CLNT90137,IndustrialClient_137,Automotive,Contact_137,client137@example.com,Nagpur,Gujarat,2023-07-11 07:44:32
CLNT90138,IndustrialClient_138,Marine,Contact_138,client138@example.com,Ahmedabad,Telangana,2025-06-09 21:46:01
CLNT90139,IndustrialClient_139,Aerospace,Contact_139,client139@example.com,Bengaluru,Karnataka,2023-03-31 23:39:28
CLNT90140,IndustrialClient_140,Automotive,Contact_140,client140@example.com,Kolkata,Maharashtra,2025-02-09 08:14:25
CLNT90141,IndustrialClient_141,Aerospace,Contact_141,client141@example.com,Mumbai,West Bengal,2024-04-27 11:58:16
CLNT90142,IndustrialClient_142,Construction,Contact_142,client142@example.com,Mumbai,Karnataka,2024-03-27 05:48:27
CLNT90143,IndustrialClient_143,Marine,Contact_143,client143@example.com,Mumbai,Maharashtra,2025-01-31 22:12:19
CLNT90144,IndustrialClient_144,Aerospace,Contact_144,client144@example.com,Ahmedabad,Delhi,2023-11-28 13:12:02
CLNT90145,IndustrialClient_145,Automotive,Contact_145,client145@example.com,Chennai,Telangana,2024-05-08 10:38:37
CLNT90146,IndustrialClient_146,Construction,Contact_146,client146@example.com,Pune,Gujarat,2023-10-18 07:36:00
CLNT90147,IndustrialClient_147,Automotive,Contact_147,client147@example.com,Kolkata,Maharashtra,2024-04-14 11:48:01
CLNT90148,IndustrialClient_148,Aerospace,Contact_148,client148@example.com,Chennai,Maharashtra,2024-12-01 20:24:37
CLNT90149,IndustrialClient_149,Marine,Contact_149,client149@example.com,Kolkata,Uttar Pradesh,2023-04-28 03:19:25
CLNT90150,IndustrialClient_150,Marine,Contact_150,client150@example.com,Lucknow,West Bengal,2025-01-21 12:11:42
CLNT90151,IndustrialClient_151,Construction,Contact_151,client151@example.com,Kolkata,Rajasthan,2025-06-25 00:44:01
CLNT90152,IndustrialClient_152,Construction,Contact_152,client152@example.com,Mumbai,Maharashtra,2025-04-10 02:27:33
CLNT90153,IndustrialClient_153,Automotive,Contact_153,client153@example.com,Lucknow,West Bengal,2024-02-05 12:41:20
CLNT90154,IndustrialClient_154,Automotive,Contact_154,client154@example.com,Jaipur,Gujarat,2023-11-29 18:30:25
CLNT90155,IndustrialClient_155,Aerospace,Contact_155,client155@example.com,Nagpur,Delhi,2023-02-19 12:30:43
CLNT90156,IndustrialClient_156,Aerospace,Contact_156,client156@example.com,Lucknow,Karnataka,2025-07-23 22:26:40
CLNT90157,IndustrialClient_157,Marine,Contact_157,client157@example.com,Bengaluru,Gujarat,2024-11-01 10:01:19
CLNT90158,IndustrialClient_158,Automotive,Contact_158,client158@example.com,Surat,Maharashtra,2023-04-24 18:08:48
CLNT90159,IndustrialClient_159,Automotive,Contact_159,client159@example.com,Lucknow,Gujarat,2023-04-26 04:23:35
CLNT90160,IndustrialClient_160,Aerospace,Contact_160,client160@example.com,Ahmedabad,Telangana,2024-12-25 12:43:27
CLNT90161,IndustrialClient_161,Aerospace,Contact_161,client161@example.com,Surat,Delhi,2025-12-30 10:02:49
CLNT90162,IndustrialClient_162,Aerospace,Contact_162,client162@example.com,Surat,Maharashtra,2024-09-04 12:16:53
CLNT90163,IndustrialClient_163,Construction,Contact_163,client163@example.com,Chennai,Karnataka,2024-07-14 18:00:37
CLNT90164,IndustrialClient_164,Marine,Contact_164,client164@example.com,Hyderabad,Uttar Pradesh,2025-05-23 18:10:35
CLNT90165,IndustrialClient_165,Marine,Contact_165,client165@example.com,Delhi,Rajasthan,2024-02-24 03:26:04
CLNT90166,IndustrialClient_166,Automotive,Contact_166,client166@example.com,Lucknow,Maharashtra,2023-09-15 12:04:36
CLNT90167,IndustrialClient_167,Aerospace,Contact_167,client167@example.com,Jaipur,Rajasthan,2023-04-22 01:01:40
CLNT90168,IndustrialClient_168,Automotive,Contact_168,client168@example.com,Nagpur,Karnataka,2025-01-03 16:29:12
CLNT90169,IndustrialClient_169,Construction,Contact_169,client169@example.com,Pune,Telangana,2024-10-21 04:23:53
CLNT90170,IndustrialClient_170,Marine,Contact_170,client170@example.com,Jaipur,Maharashtra,2025-07-24 06:16:01
CLNT90171,IndustrialClient_171,Marine,Contact_171,client171@example.com,Ahmedabad,Karnataka,2025-03-02 18:25:10
CLNT90172,IndustrialClient_172,Aerospace,Contact_172,client172@example.com,Kolkata,Delhi,2023-09-17 10:14:05
CLNT90173,IndustrialClient_173,Construction,Contact_173,client173@example.com,Pune,Uttar Pradesh,2023-03-15 06:00:11
CLNT90174,IndustrialClient_174,Marine,Contact_174,client174@example.com,Hyderabad,Gujarat,2025-04-15 09:41:01
CLNT90175,IndustrialClient_175,Marine,Contact_175,client175@example.com,Pune,Gujarat,2024-01-16 22:55:03
CLNT90176,IndustrialClient_176,Construction,Contact_176,client176@example.com,Chennai,Uttar Pradesh,2025-12-02 14:22:16
CLNT90177,IndustrialClient_177,Construction,Contact_177,client177@example.com,Delhi,West Bengal,2024-10-12 08:28:12
CLNT90178,IndustrialClient_178,Aerospace,Contact_178,client178@example.com,Ahmedabad,Rajasthan,2025-12-29 04:03:41
CLNT90179,IndustrialClient_179,Aerospace,Contact_179,client179@example.com,Surat,Gujarat,2023-09-18 05:41:18
CLNT90180,IndustrialClient_180,Marine,Contact_180,client180@example.com,Ahmedabad,Maharashtra,2023-03-16 04:11:07
CLNT90181,IndustrialClient_181,Marine,Contact_181,client181@example.com,Pune,Maharashtra,2024-07-03 00:31:36
CLNT90182,IndustrialClient_182,Marine,Contact_182,client182@example.com,Surat,Rajasthan,2025-09-22 10:02:31
CLNT90183,IndustrialClient_183,Construction,Contact_183,client183@example.com,Lucknow,Delhi,2023-12-26 02:19:39
CLNT90184,IndustrialClient_184,Automotive,Contact_184,client184@example.com,Lucknow,Tamil Nadu,2023-03-11 10:40:06
CLNT90185,IndustrialClient_185,Automotive,Contact_185,client185@example.com,Lucknow,Delhi,2023-12-17 16:07:36
CLNT90186,IndustrialClient_186,Construction,Contact_186,client186@example.com,Lucknow,Maharashtra,2025-01-06 18:34:42
CLNT90187,IndustrialClient_187,Automotive,Contact_187,client187@example.com,Hyderabad,Tamil Nadu,2024-08-29 21:20:17
CLNT90188,IndustrialClient_188,Construction,Contact_188,client188@example.com,Delhi,Gujarat,2024-05-26 22:06:14
CLNT90189,IndustrialClient_189,Aerospace,Contact_189,client189@example.com,Mumbai,Uttar Pradesh,2025-03-16 09:56:39
CLNT90190,IndustrialClient_190,Marine,Contact_190,client190@example.com,Bengaluru,Tamil Nadu,2023-06-01 16:50:26
CLNT90191,IndustrialClient_191,Construction,Contact_191,client191@example.com,Chennai,Maharashtra,2025-01-23 11:00:26
CLNT90192,IndustrialClient_192,Automotive,Contact_192,client192@example.com,Pune,Delhi,2023-01-17 16:30:05
CLNT90193,IndustrialClient_193,Marine,Contact_193,client193@example.com,Lucknow,Telangana,2024-04-08 16:40:25
CLNT90194,IndustrialClient_194,Construction,Contact_194,client194@example.com,Chennai,West Bengal,2025-06-15 23:31:07
CLNT90195,IndustrialClient_195,Construction,Contact_195,client195@example.com,Chennai,Maharashtra,2023-07-16 14:36:16
CLNT90196,IndustrialClient_196,Marine,Contact_196,client196@example.com,Ahmedabad,Gujarat,2024-11-06 23:52:25
CLNT90197,IndustrialClient_197,Construction,Contact_197,client197@example.com,Pune,Gujarat,2023-02-13 00:08:52
CLNT90198,IndustrialClient_198,Aerospace,Contact_198,client198@example.com,Chennai,Gujarat,2025-02-10 22:09:31
CLNT90199,IndustrialClient_199,Marine,Contact_199,client199@example.com,Lucknow,Telangana,2023-12-20 13:45:16
CLNT90200,IndustrialClient_200,Marine,Contact_200,client200@example.com,Delhi,West Bengal,2024-05-02 22:04:51
CLNT90201,IndustrialClient_201,Marine,Contact_201,client201@example.com,Pune,Delhi,2025-04-07 05:29:46
CLNT90202,IndustrialClient_202,Aerospace,Contact_202,client202@example.com,Chennai,Telangana,2025-12-28 05:19:48
CLNT90203,IndustrialClient_203,Aerospace,Contact_203,client203@example.com,Lucknow,Delhi,2025-10-24 05:03:38
CLNT90204,IndustrialClient_204,Automotive,Contact_204,client204@example.com,Pune,Maharashtra,2025-10-27 15:37:50
CLNT90205,IndustrialClient_205,Marine,Contact_205,client205@example.com,Nagpur,Uttar Pradesh,2023-04-04 12:15:23
CLNT90206,IndustrialClient_206,Construction,Contact_206,client206@example.com,Surat,Gujarat,2025-08-24 04:06:12
CLNT90207,IndustrialClient_207,Automotive,Contact_207,client207@example.com,Pune,Rajasthan,2025-02-21 02:11:10
CLNT90208,IndustrialClient_208,Construction,Contact_208,client208@example.com,Surat,Telangana,2023-05-10 08:42:30
CLNT90209,IndustrialClient_209,Automotive,Contact_209,client209@example.com,Kolkata,Tamil Nadu,2023-05-12 19:58:53
CLNT90210,IndustrialClient_210,Aerospace,Contact_210,client210@example.com,Delhi,Tamil Nadu,2023-07-03 17:45:13
CLNT90211,IndustrialClient_211,Automotive,Contact_211,client211@example.com,Delhi,West Bengal,2023-03-04 01:36:19
CLNT90212,IndustrialClient_212,Aerospace,Contact_212,client212@example.com,Hyderabad,Maharashtra,2024-02-24 16:32:50
CLNT90213,IndustrialClient_213,Marine,Contact_213,client213@example.com,Ahmedabad,Karnataka,2025-07-13 10:31:42
CLNT90214,IndustrialClient_214,Construction,Contact_214,client214@example.com,Kolkata,Maharashtra,2023-01-07 04:38:20
CLNT90215,IndustrialClient_215,Aerospace,Contact_215,client215@example.com,Surat,Maharashtra,2023-04-17 15:37:49
CLNT90216,IndustrialClient_216,Automotive,Contact_216,client216@example.com,Mumbai,Tamil Nadu,2025-02-11 07:45:40
CLNT90217,IndustrialClient_217,Construction,Contact_217,client217@example.com,Mumbai,Tamil Nadu,2023-09-04 21:53:12
CLNT90218,IndustrialClient_218,Construction,Contact_218,client218@example.com,Mumbai,Rajasthan,2025-07-31 15:46:10
CLNT90219,IndustrialClient_219,Construction,Contact_219,client219@example.com,Chennai,Gujarat,2025-02-28 02:35:55
CLNT90220,IndustrialClient_220,Automotive,Contact_220,client220@example.com,Ahmedabad,Tamil Nadu,2025-07-09 22:56:04
CLNT90221,IndustrialClient_221,Marine,Contact_221,client221@example.com,Surat,Karnataka,2024-02-16 08:00:14
CLNT90222,IndustrialClient_222,Construction,Contact_222,client222@example.com,Bengaluru,Tamil Nadu,2025-06-18 04:10:19
CLNT90223,IndustrialClient_223,Automotive,Contact_223,client223@example.com,Delhi,Uttar Pradesh,2025-03-06 17:58:58
CLNT90224,IndustrialClient_224,Marine,Contact_224,client224@example.com,Delhi,Karnataka,2024-05-07 20:14:19
CLNT90225,IndustrialClient_225,Marine,Contact_225,client225@example.com,Surat,West Bengal,2023-03-28 04:29:22
CLNT90226,IndustrialClient_226,Automotive,Contact_226,client226@example.com,Jaipur,Maharashtra,2023-10-19 05:46:53
CLNT90227,IndustrialClient_227,Automotive,Contact_227,client227@example.com,Kolkata,Maharashtra,2025-10-14 16:59:59
CLNT90228,IndustrialClient_228,Construction,Contact_228,client228@example.com,Hyderabad,Telangana,2025-07-10 17:42:01
CLNT90229,IndustrialClient_229,Marine,Contact_229,client229@example.com,Pune,Telangana,2023-12-25 23:01:54
CLNT90230,IndustrialClient_230,Marine,Contact_230,client230@example.com,Nagpur,Tamil Nadu,2025-02-11 01:45:45
CLNT90231,IndustrialClient_231,Automotive,Contact_231,client231@example.com,Pune,Uttar Pradesh,2024-06-19 19:34:01
